"bigram"
"szent istván"
"politikai rendszer"
"hősi halott"
"segít fog"
"európai unió"
"okozott kár"
"szovjet megszállás"
"százezer magyar"
"kár okoz"
"keresztény érték"
"emberi élet"
"emberi jog"
"emberi méltóság"
"felebaráti szeretet"
"történelmi egyház"
"szociális igazságosság"
"család intézmény"
"ország érdek"
"intézmény támogatás"
"élő magyar"
"magyar család"
"református lelkész"
"ország sors"
"társadalmi béke"
"személy leadott"
"szám összesen"
"lévai katalin"
"magyar köztársaság"
"magyar parlament"
"széles nyilvánosság"
"politikai erő"
"nemzeti érdek"
"modern európai"
"európai közösség"
"feladat megoldás"
"magyar politikus"
"politikai szereplő"
"nemzet egység"
"közös feladat"
"nógrádi zoltán"
"soltész miklós"
"munkanélküliség magyarország"
"államháztartás hiány"
"járó adókedvezmény"
"felsőoktatási intézmény"
"cigány fiatal"
"százalék fordít"
"szociális bérlakás"
"százalék fölött"
"fontos érez"
"döntés hoz"
"fontos kérdés"
"kevesebb gyermek"
"gazdasági kérdés"
"magyar gyermek"
"szegény család"
"született gyermek"
"vagyoni helyzet"
"európa egyedülálló"
"százalék jut"
"európai uniós"
"uniós átlag"
"fontos tartott"
"különös figyelem"
"arányos közteherviselés"
"infláció mérték"
"százalékos csökkenés"
"mérték jelentős"
"növel tud"
"magyar gazdaság"
"magyar vállalkozó"
"szerep vállal"
"álláspont foglal"
"magyarország tag"
"unió tartozó"
"európai állam"
"unió belüli"
"multinacionális vállalat"
"fejlesztési forrás"
"használ föl"
"állami forrás"
"történik magyarország"
"százalékos többség"
"polgári oldal"
"oldal rész"
"hit tesz"
"határ átívelő"
"nemzeti újraegyesítés"
"sikerül elér"
"megállapodás köt"
"megállapodás jut"
"eredmény ér"
"politikai élet"
"hosszú idő"
"vidéki ember"
"külső üzletrész"
"csatlakozás követő"
"magyarország termőföld"
"magyar gazda"
"magyar nemzet"
"baj kerül"
"baj jut"
"végzett munka"
"magyarország polgár"
"isten éltet"
"formabontó mód"
"magyar történelem"
"millió magyar"
"magyar állampolgár"
"becsületes ember"
"tízmillió magyar"
"magyar ember"
"fontos ember"
"magyar politikai"
"magyarság érdek"
"borzasztó sajnál"
"nehéz tud"
"rövid idő"
"magyar nemzeti"
"nemzeti bank"
"hatályos szöveg"
"ész jut"
"százalék emelkedik"
"egyetemi oktató"
"oktató bér"
"magyar oktatásügy"
"oktatási tárca"
"személy szabott"
"nemzetgazdasági átlag"
"elv alap"
"népi kezdeményezés"
"százalékos béremelés"
"százalékos emelés"
"példa nélküli"
"egyetemi tanár"
